early_stopping_rounds,eta,gamma,max_depth,n_iters,num_boost_round,index,test-auc-mean,test-auc-std,test-error-mean,test-error-std,test-logloss-mean,test-logloss-std,train-auc-mean,train-auc-std,train-error-mean,train-error-std,train-logloss-mean,train-logloss-std
10,0.07,0.0,5,100,100,99,0.67841225,0.0027757607403196827,0.37668075,0.005966974374630737,0.645667,0.001237336049745592,0.74022275,0.0016048701466162421,0.334981,0.002849405902991016,0.6196305,0.0011709571939229908
10,0.09,0.0,5,372,500,371,0.6942790000000001,0.005225828738104618,0.3649485,0.0036165695417066115,0.63147325,0.0037358788373687995,0.80864475,0.0020119811598272967,0.27623224999999996,0.001562631654453477,0.56484375,0.0017732816153956021
10,0.06,0.1,5,10,10,9,0.6364117499999999,0.00470684455739725,0.40871325000000003,0.002926049843645871,0.67332725,0.0007645290625607658,0.66324625,0.002953345253691156,0.38854475,0.00594114729555664,0.6683064999999999,0.0005847484501903168
10,0.01,0.0,5,500,500,499,0.6709002500000001,0.0018751211127551219,0.38221725,0.005984287400142139,0.65030225,0.0007960252430042752,0.7247325,0.0030284673929233557,0.34732850000000004,0.00509401887020454,0.6294379999999999,0.0015538159479165934
10,0.2,0.1,10,91,2000,90,0.7082915,0.0027875868147916026,0.35769850000000003,0.00642099340055728,0.6204645,0.0015823617633145349,0.877251,0.0011113683007896262,0.212343,0.0009036819130645535,0.50388825,0.002281565950723327
10,0.04,0.1,5,500,500,499,0.6927939999999999,0.004515578755818548,0.36738725000000005,0.004310102862751642,0.63453275,0.002414935338161261,0.783092,0.0022207430062931755,0.29989475,0.001321891518809304,0.58770875,0.001671403059558063
10,0.3,0.1,5,135,2000,134,0.69451975,0.0023766771315220747,0.36751925,0.0030802028646665434,0.6303274999999999,0.0014643968895077443,0.82308325,0.0022458856131824774,0.262523,0.002576667712375814,0.5472079999999999,0.002633620796546042
10,0.02,0.1,10,704,2000,703,0.710579,0.004481251555090371,0.35328225,0.0062027925716970425,0.62008575,0.002887052595208496,0.86482225,0.0012773573061207373,0.22473425000000002,0.0011242685121891438,0.5239735,0.0017115825279547614
10,0.09,0.0,10,148,500,147,0.71031125,0.005358121563337302,0.35407350000000004,0.005676005175297148,0.62043575,0.002611439485705167,0.86448675,0.0013039899108121746,0.22510799999999997,0.003451148576923338,0.5233565,0.0007156289192032411
10,0.07,0.0,5,442,2000,441,0.6956755,0.004264530132382687,0.36310325,0.0034995640710665716,0.63134425,0.0030217835275710646,0.8048185,0.002323842776523396,0.27976975000000004,0.0009952867363227588,0.5686715,0.002132603162803628
10,0.03,0.0,5,100,100,99,0.6629805,0.0016797009406438897,0.39019275,0.003648356984657619,0.6550595,0.0004528523490057508,0.7089179999999999,0.0023525140807229912,0.35859925000000004,0.002645808229539692,0.63893975,0.0004185698119788102
10,0.2,0.0,5,154,2000,153,0.6950862499999999,0.004676815763690071,0.36639875,0.004273058879479666,0.6307565,0.0033130687813566614,0.807115,0.0011355038529216785,0.27614449999999996,0.0007011670628316655,0.5649965000000001,0.0007134817797253199
10,0.07,0.0,10,197,500,196,0.7115400000000001,0.002915161830842337,0.35203,0.002761315085244703,0.6197299999999999,0.001330210697596412,0.865719,0.0019337901902739814,0.22350399999999998,0.0015957219369301112,0.5226355,0.0026685383171316567
10,0.06,0.0,10,10,10,9,0.6724812499999999,0.004163338526651417,0.38070125,0.0008128915594960791,0.6604410000000001,0.0011452128623098755,0.754931,0.008165411716502714,0.3235125,0.008392220847308538,0.6396712499999999,0.0022158770695821757
10,0.2,0.0,10,77,500,76,0.70880375,0.003676070345831282,0.35420525,0.004460840636864314,0.620679,0.0016002865368427302,0.8694235,0.0013519930658106227,0.22025224999999998,0.0025183472134517135,0.51329,0.001760625173056443
10,0.03,0.1,5,500,500,499,0.6895765,0.003101973605625921,0.36738725,0.004880996741189249,0.6373225,0.001713353218107706,0.76942975,0.0022058197314150725,0.3109455,0.0020621160854811128,0.5985815,0.0019200162108690478
10,0.04,0.0,10,381,1000,380,0.7101835,0.004596457848169608,0.35328225,0.005406087373276542,0.62051,0.002717977464954393,0.8691635,0.0018769763584019921,0.22005424999999998,0.002150003764531584,0.5190695000000001,0.0016866923993425734
10,0.03,0.1,10,100,100,99,0.69757625,0.0015286250971052165,0.36191675,0.004456403559766549,0.6332564999999999,0.0010969048500211684,0.810463,0.0038408145620427857,0.277243,0.0023728430205135704,0.5791217500000001,0.002607618010272963
10,0.07,0.1,10,274,1000,273,0.71161975,0.0029573698090533157,0.35209575,0.001497316829365126,0.6191265,0.0020067785752294746,0.879507,0.002849262887134137,0.209289,0.003473812243055172,0.50553225,0.0027351952741075016
10,0.07,0.1,5,500,500,499,0.6956525,0.004315444212360981,0.36626675,0.003673959878319313,0.630191,0.0028557500765998252,0.81313725,0.0018729445233375385,0.27219000000000004,0.0010444374083687373,0.561755,0.0016902570810382869
10,0.07,0.0,5,10,10,9,0.63952875,0.0059713598273341655,0.40634075000000003,0.002270790762597899,0.6715679999999999,0.0009436617508408361,0.66798625,0.003182958323242677,0.38441400000000003,0.00450655894225295,0.665573,0.0007524008240293164
10,0.02,0.1,5,500,500,499,0.683686,0.003439700350321228,0.3722645,0.0033400796771933397,0.6420702500000001,0.0016109884194183293,0.7514649999999999,0.0026110851192559918,0.32748900000000003,0.003697443711539107,0.61154725,0.0018270874876425275
10,0.08,0.1,5,100,100,99,0.6803645,0.002790755945975952,0.37582425,0.003809155377180101,0.644115,0.0014414654002091135,0.74382275,0.0028497306342003402,0.33159775,0.002457889681718851,0.61641625,0.001582944467598282
10,0.02,0.1,5,10,10,9,0.624636,0.010131454510582363,0.4153705,0.0035000216070761717,0.68413775,0.0004316789171363156,0.6484957499999999,0.006474672940581629,0.40126550000000005,0.004789628717343345,0.6822775,0.0001807740302145018
10,0.03,0.0,10,100,100,99,0.69730275,0.0008301961741058519,0.3613895,0.00541040148695086,0.63326075,0.0007872094305202231,0.81092825,0.0020851838498079653,0.27579325,0.0017312387725267756,0.57867375,0.0017742856837330344
10,0.02,0.0,5,1000,1000,999,0.692064,0.004131554368515558,0.3658715,0.004982570947813985,0.63504825,0.002230358533397695,0.78138375,0.0027042003785777134,0.3008615,0.0020368525351630246,0.5890947499999999,0.0021713735716131334
