f_number;thm_prm;feature;importance
3884;thm;m1_subset_1(A,k1_zfmisc_1(k2_zfmisc_1(A,A)));631
11471;prm;k3_funct_2-V;630
2108;thm;v2_tex_2-V;630
15906;prm;r1_xboole_0(k4_xboole_0(A,A),A);630
3552;thm;k5_xboole_0-k5_xboole_0;629
10889;prm;m1_subset_1-k3_subset_1;627
1990;thm;k7_setfam_1-V;627
326;thm;k1_relat_1(k5_relat_1(A,A));626
13373;prm;v1_relat_1-k2_funct_1;626
14367;prm;r1_yellow_0;625
1532;thm;k6_partfun1-V;624
14507;prm;k2_xboole_0-k1_enumset1;623
5466;thm;=(k4_xboole_0(A,A),A);622
2495;thm;m1_orders_2;622
14863;prm;k4_lattices;620
497;thm;r1_tarski-k1_setfam_1;620
11049;prm;r4_tsep_1(A,A,A);619
4056;thm;=-k4_tarski;619
15623;prm;=-k2_tsep_1;619
530;thm;v1_tdlat_3;617
5937;thm;=-k5_enumset1;617
11155;prm;u1_orders_2(A);616
17940;prm;r1_tarski(k4_xboole_0(A,A),k4_xboole_0(A,A));615
4647;thm;k2_tmap_1(A,A,A,A);614
599;thm;k7_enumset1(A,A,A,A,A,A,A,A,A);614
3221;thm;k4_xboole_0(A,k3_xboole_0(A,A));613
91;thm;r6_binop_1-k3_filter_1;612
14787;prm;v1_zfmisc_1;611
1969;thm;k2_enumset1-k3_mcart_1;610
1693;thm;k3_tarski;609
12736;prm;m1_orders_2;608
177;thm;k5_xboole_0(k5_xboole_0(A,A),k3_xboole_0(A,A));607
18163;prm;r1_xboole_0-k1_xboole_0;606
962;thm;=-k4_relat_1;603
3184;thm;r2_hidden(A,k2_zfmisc_1(A,A));603
12061;prm;=-k3_enumset1;602
13599;prm;k1_subset_1(A);599
5369;thm;=-k4_xboole_0;599
18808;prm;k2_xboole_0(k2_tarski(A,A),A);599
3347;thm;v5_funct_1-V;598
11090;prm;=-k1_lattices;598
18630;prm;r1_tarski(A,k3_xboole_0(A,A));597
11148;prm;v3_orders_2-V;597
10486;prm;r1_tarski(k4_xboole_0(A,A),A);596
12141;prm;v17_lattices;595
3352;thm;=-k1_tops_1;593
10379;prm;v3_tex_2;593
11614;prm;=(k2_pre_topc(A,A),A);593
16095;prm;=-k1_setfam_1;593
2212;thm;r2_hidden(k4_tarski(A,A),A);592
3549;thm;=(g1_pre_topc(u1_struct_0(A),u1_pre_topc(A)),g1_pre_topc(u1_struct_0(A),u1_pre_topc(A)));591
4971;thm;k2_xboole_0(k2_xboole_0(A,A),A);591
6817;thm;r1_tarski-k2_zfmisc_1;590
3292;thm;v1_tops_2(A,A);589
14858;prm;v1_subset_1-V;589
3556;thm;=(k1_funct_1(A,A),A);588
11334;prm;k2_xboole_0(A,k3_xboole_0(A,A));588
1947;thm;k5_xboole_0-k2_xboole_0;587
1300;thm;k4_xboole_0(k2_zfmisc_1(A,A),k2_zfmisc_1(A,A));587
8526;thm;k10_relat_1-k1_xboole_0;587
8653;thm;=(A,k4_subset_1(A,A,A));587
6056;thm;k2_partfun1(A,A,A,A);585
18183;prm;=-k4_enumset1;585
8163;thm;r1_tarski(k5_partfun1(A,A,A),k1_funct_2(A,A));584
9893;thm;=(k4_lattices(A,A,A),A);583
114;thm;r2_xboole_0;582
373;thm;=-k2_relat_1;581
19443;prm;=(A,k2_relat_1(A));581
10537;prm;r4_wellord1(A,A);581
10237;thm;=(k5_relat_1(A,A),k1_xboole_0);579
1689;thm;r1_tarski(k9_relat_1(A,A),k9_relat_1(A,A));579
14484;prm;k5_relset_1(A,A,A,A);579
8233;thm;=-k3_xboole_0;578
13176;prm;k2_lattices;578
10913;prm;v1_funct_1-k3_tmap_1;577
3918;thm;k1_setfam_1-V;577
8298;thm;k3_waybel_0(A,A);577
10339;prm;k6_domain_1;576
19099;prm;k4_enumset1;576
10614;prm;=-k2_relat_1;575
7030;thm;v2_tops_2(A,A);575
16474;prm;k4_xboole_0-k3_xboole_0;575
1268;thm;m1_subset_1(k5_relset_1(u1_struct_0(A),u1_struct_0(A),A,A),k1_zfmisc_1(k2_zfmisc_1(u1_struct_0(k1_pre_topc(A,A)),u1_struct_0(A))));574
2322;thm;m2_connsp_2;574
5264;thm;k4_subset_1-u1_struct_0;573
1252;thm;k6_subset_1-k8_relat_1;573
879;thm;k7_relat_1-k7_relat_1;572
4322;thm;k2_xboole_0-k1_tarski;571
16357;prm;=(g1_pre_topc(A,A),g1_pre_topc(A,A));571
15587;prm;v2_funct_1-V;570
2657;thm;k3_tarski-V;569
17746;prm;=(A,k1_tarski(A));568
11203;prm;=-k4_relat_1;567
3922;thm;v1_funct_2-k1_tarski;566
4546;thm;v1_zfmisc_1;566
16218;prm;k3_zfmisc_1(A,A,A);566
1400;thm;v10_lattices;565
5095;thm;k2_xboole_0-k4_enumset1;565
19479;prm;k4_relat_1;565
10214;thm;k2_xboole_0-k2_enumset1;565
1244;thm;r1_tarski-k6_subset_1;564
2374;thm;g1_pre_topc;563
16034;prm;m1_subset_1(k1_xboole_0,k1_zfmisc_1(A));563
11;thm;r2_hidden(A,k1_relat_1(A));563
914;thm;u1_orders_2(A);563
14175;prm;=(k4_xboole_0(A,A),k4_xboole_0(A,A));562
