f_number;thm_prm;feature;importance
611;thm;r1_xboole_0(k9_relat_1(A,A),k9_relat_1(A,A));0.1519210032173915
15915;prm;=-k1_tsep_1;0.15190499457333326
4414;thm;k2_tarski(A,A);0.1518490366233334
8567;thm;k2_xboole_0(k2_tarski(A,A),A);0.15151219554016612
1034;thm;=(A,k2_subset_1(A));0.15143015941424803
15250;prm;=-k1_tarski;0.15136915863684394
14367;prm;r1_yellow_0;0.15123169527200017
13954;prm;=(A,k2_lattices(A,A,A));0.15110598292682934
10500;prm;v1_partfun1(A,A);0.15102507536795312
17285;prm;k3_zfmisc_1-k2_tarski;0.15097698428571427
2219;thm;=-k1_yellow_1;0.15064690454545457
1352;thm;k1_tarski(A);0.150622506444967
10559;prm;k6_subset_1(A,k7_relat_1(A,A));0.15039492091743112
17523;prm;=-k2_enumset1;0.15034632550295862
11543;prm;l1_orders_2;0.15032620412200448
3964;thm;k6_domain_1-u1_struct_0;0.15015833310502294
6028;thm;=;0.15005171380869492
8008;thm;r1_tarski-k3_xboole_0;0.1499277804263988
6199;thm;k1_zfmisc_1(A);0.1499207391121496
277;thm;k1_relat_1-k2_tarski;0.1499192352941176
2325;thm;l2_lattices(A);0.14988947777777786
2268;thm;v3_pre_topc(k3_subset_1(u1_struct_0(A),A),A);0.14975230099978798
702;thm;r1_lattice3;0.14960649753541633
1896;thm;=(k2_tops_1(A,A),k7_subset_1(u1_struct_0(A),A,k1_tops_1(A,A)));0.14956081803278687
14211;prm;=-k8_relat_1;0.14931483600255116
2378;thm;k8_relset_1-k3_tmap_1;0.1492874994520548
9870;thm;=-k5_relat_1;0.14923148818352075
13055;prm;k6_lattices-V;0.14921667234101385
4996;thm;r1_tarski;0.14916372880255285
8389;thm;r1_tarski(A,k3_xboole_0(A,A));0.14908942513654613
13853;prm;l3_lattices;0.1489622636815144
16557;prm;=(u1_struct_0(k6_tmap_1(A,A)),u1_struct_0(A));0.14889220714285714
1282;thm;v2_funct_1;0.1488182027444752
18509;prm;=-k3_tmap_1;0.14879638600000006
3241;thm;=(k8_relat_1(A,k1_xboole_0),k1_xboole_0);0.14877690770491778
3119;thm;k1_partfun1-V;0.14876861035018396
1309;thm;=(k7_relat_1(A,A),k7_relat_1(A,A));0.14874336151692313
19373;prm;=(A,k1_funct_1(A,A));0.14870723046419754
5087;thm;k9_relat_1(k6_relat_1(A),A);0.14866275454545452
12544;prm;k8_setfam_1(A,A);0.14848473333333334
14526;prm;k9_relat_1;0.1484702805385436
4622;thm;k4_lattices;0.1483732376150034
